loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,applicant_age
26,5,Not Graduate,No,7750000.0,33250000.0,20,364,7900000,3100000,6600000,2600000,Rejected,41
27,4,Graduate,No,20500000.0,98350000.0,20,546,11500000,10600000,25300000,7200000,Approved,66
28,4,Not Graduate,Yes,6000000.0,19600000.0,20,512,4500000,4200000,5400000,2500000,Approved,54
29,5,Not Graduate,Yes,17500000.0,84000000.0,20,300,2300000,11900000,27500000,9700000,Rejected,52
30,3,Not Graduate,Yes,22500000.0,110250000.0,20,700,21800000,12400000,33700000,8000000,Approved,40
31,2,Not Graduate,No,24500000.0,88550000.0,20,300,20200000,5200000,25500000,9300000,Rejected,45
32,2,Graduate,No,14250000.0,42000000.0,20,300,3600000,7400000,21700000,4300000,Rejected,49
33,1,Not Graduate,Yes,2000000.0,5600000.0,20,300,700000,200000,2200000,1000000,Rejected,57
34,5,Not Graduate,Yes,21000000.0,77000000.0,20,680,3800000,3900000,19900000,5400000,Approved,59
35,3,Graduate,No,12250000.0,41650000.0,20,462,9700000,1200000,19000000,5800000,Approved,67
36,2,Graduate,Yes,4250000.0,11900000.0,20,541,2700000,2800000,6000000,900000,Approved,56
37,3,Not Graduate,No,4000000.0,21700000.0,20,486,3400000,700000,5300000,1400000,Approved,54
38,5,Graduate,Yes,20000000.0,95200000.0,20,300,6400000,300000,16700000,7100000,Rejected,41
39,5,Graduate,No,9000000.0,26950000.0,20,680,7000000,1300000,10000000,2900000,Approved,55
40,3,Not Graduate,Yes,3750000.0,17850000.0,20,300,100000,200000,5600000,900000,Rejected,67
41,1,Graduate,No,19500000.0,63350000.0,20,562,8600000,11200000,21700000,9000000,Approved,57
42,2,Not Graduate,No,22750000.0,87150000.0,20,672,22300000,12100000,31000000,5200000,Approved,53
43,3,Graduate,No,3500000.0,11900000.0,20,390,200000,1500000,3900000,800000,Rejected,52
44,2,Graduate,Yes,2000000.0,8050000.0,20,300,2200000,1300000,1800000,800000,Rejected,67
45,5,Graduate,No,16250000.0,46900000.0,20,637,18200000,300000,16200000,5400000,Approved,59
46,4,Graduate,No,20000000.0,97300000.0,20,300,13000000,6300000,21400000,10900000,Rejected,54
47,3,Not Graduate,Yes,10500000.0,51100000.0,20,529,2400000,6900000,8700000,4900000,Approved,52
48,1,Graduate,Yes,12250000.0,66850000.0,20,527,5400000,9100000,17700000,6500000,Approved,67
49,3,Not Graduate,No,13750000.0,71750000.0,20,484,800000,8600000,18500000,8200000,Approved,47
50,1,Not Graduate,Yes,23750000.0,66850000.0,20,512,100000,10500000,37700000,11700000,Approved,57
51,4,Graduate,No,18250000.0,88900000.0,20,352,500000,1800000,20500000,10500000,Rejected,64
52,2,Graduate,No,21750000.0,86450000.0,20,300,6800000,3500000,21800000,11300000,Rejected,53
53,5,Not Graduate,No,9500000.0,26600000.0,20,539,8700000,100000,9300000,3400000,Approved,62
54,1,Not Graduate,Yes,21000000.0,80500000.0,20,507,15400000,14800000,31900000,8200000,Approved,68
55,2,Graduate,Yes,12750000.0,68950000.0,20,440,7400000,9300000,19400000,3400000,Approved,49
56,5,Not Graduate,No,16750000.0,85750000.0,20,668,1200000,5600000,16300000,6200000,Approved,64
57,2,Not Graduate,No,10750000.0,37100000.0,20,300,2100000,1500000,9300000,5200000,Rejected,51
58,5,Graduate,Yes,23250000.0,106750000.0,20,691,19300000,10300000,34600000,8700000,Approved,54
59,1,Graduate,No,18500000.0,64400000.0,20,300,18500000,9100000,17500000,4100000,Rejected,62
60,4,Not Graduate,Yes,13750000.0,63700000.0,20,647,-100000,4900000,18600000,4800000,Approved,61
61,2,Not Graduate,No,21250000.0,66150000.0,20,328,23800000,16300000,25900000,11400000,Rejected,68
62,3,Not Graduate,Yes,24000000.0,106750000.0,20,519,4700000,1900000,26500000,9300000,Approved,44
63,5,Not Graduate,Yes,22000000.0,101150000.0,20,300,24400000,8600000,27400000,4700000,Rejected,63
64,3,Not Graduate,Yes,8250000.0,26250000.0,20,436,1600000,5600000,10500000,2900000,Approved,51
65,4,Graduate,Yes,9750000.0,43050000.0,20,634,7600000,6900000,13100000,2800000,Approved,60
66,1,Graduate,No,10250000.0,36050000.0,20,300,9500000,6100000,14900000,2800000,Rejected,57
67,3,Not Graduate,No,20750000.0,101850000.0,20,565,6100000,11900000,24100000,11900000,Approved,41
68,0,Not Graduate,Yes,6750000.0,35350000.0,20,543,200000,1700000,5900000,1400000,Rejected,47
69,4,Graduate,No,14000000.0,43400000.0,20,627,5500000,3100000,11800000,5500000,Approved,50
70,0,Graduate,No,4750000.0,17500000.0,20,300,4000000,2800000,4900000,2400000,Rejected,41
71,4,Not Graduate,Yes,1250000.0,5250000.0,20,300,100000,200000,1900000,600000,Rejected,55
72,5,Graduate,Yes,13250000.0,65100000.0,20,300,2700000,9700000,11900000,4200000,Approved,45
73,5,Not Graduate,No,17500000.0,64050000.0,20,300,18400000,11700000,21500000,7600000,Rejected,43
74,3,Not Graduate,Yes,14500000.0,58450000.0,20,585,3900000,9400000,12600000,5600000,Approved,68
75,2,Not Graduate,No,6500000.0,29400000.0,20,344,6500000,3800000,5600000,2000000,Rejected,50
76,2,Not Graduate,No,4750000.0,22750000.0,20,521,600000,2500000,4800000,1100000,Approved,62
77,4,Graduate,No,14250000.0,51800000.0,20,547,14300000,7800000,12900000,6300000,Approved,42
78,0,Graduate,No,22500000.0,117250000.0,20,651,11600000,8900000,35400000,11100000,Approved,64
79,2,Not Graduate,No,21250000.0,102900000.0,20,426,17600000,5600000,25200000,9000000,Approved,52
80,0,Not Graduate,No,1750000.0,4900000.0,20,489,1900000,700000,2400000,900000,Approved,62
81,4,Graduate,No,8750000.0,31150000.0,20,320,1300000,2200000,12300000,2000000,Rejected,68
82,0,Not Graduate,No,22000000.0,109200000.0,20,676,2900000,500000,33300000,8600000,Approved,40
83,2,Not Graduate,Yes,24750000.0,74200000.0,20,300,25500000,11400000,26600000,6800000,Rejected,58
84,3,Graduate,No,9000000.0,30100000.0,20,463,9400000,300000,10300000,3300000,Approved,46
85,3,Not Graduate,Yes,7500000.0,28700000.0,20,563,5300000,5800000,11000000,3400000,Approved,50
86,2,Graduate,No,17000000.0,74200000.0,20,300,17100000,4700000,23300000,3600000,Rejected,43
87,5,Not Graduate,Yes,2750000.0,13300000.0,20,300,1300000,1200000,3800000,1600000,Rejected,45
88,1,Not Graduate,Yes,21750000.0,99050000.0,20,300,20400000,13600000,27900000,10200000,Rejected,48
89,4,Graduate,Yes,5000000.0,28000000.0,20,687,5100000,2600000,3900000,2900000,Approved,42
90,2,Not Graduate,No,24500000.0,131600000.0,20,491,24100000,0,23400000,7600000,Approved,49
91,4,Graduate,No,14250000.0,73850000.0,20,339,500000,4300000,12500000,6000000,Rejected,58
92,4,Graduate,No,22000000.0,72450000.0,20,390,19200000,3200000,22400000,12700000,Rejected,67
93,4,Graduate,No,9500000.0,31150000.0,20,694,9100000,3500000,13100000,4700000,Approved,61
94,1,Graduate,No,4250000.0,22400000.0,20,302,900000,1100000,5600000,2100000,Rejected,69
95,2,Graduate,No,2500000.0,7000000.0,20,300,1200000,400000,3200000,1300000,Rejected,65
96,5,Graduate,No,750000.0,3850000.0,20,300,100000,500000,700000,400000,Approved,41
97,2,Graduate,Yes,16500000.0,52500000.0,20,320,1200000,4800000,18200000,7000000,Rejected,49
98,2,Not Graduate,No,21750000.0,87500000.0,20,711,14700000,8500000,23200000,7300000,Approved,67
99,4,Graduate,No,23500000.0,102900000.0,20,412,25900000,15200000,36400000,7100000,Approved,48
100,0,Graduate,No,11000000.0,37800000.0,20,313,2400000,4800000,13800000,4700000,Rejected,41
101,4,Not Graduate,No,1000000.0,3150000.0,20,328,700000,100000,1200000,100000,Rejected,57
102,2,Not Graduate,Yes,750000.0,3850000.0,20,552,300000,200000,500000,200000,Approved,63
103,2,Not Graduate,Yes,10750000.0,45150000.0,20,468,11400000,3600000,11400000,2400000,Approved,55
104,4,Graduate,No,4000000.0,15750000.0,20,483,700000,1700000,4100000,1900000,Approved,55
105,5,Not Graduate,Yes,15500000.0,82600000.0,20,300,18500000,10300000,23800000,8700000,Rejected,48
106,3,Not Graduate,Yes,10500000.0,33950000.0,20,691,7800000,300000,16700000,5100000,Approved,55
107,4,Not Graduate,Yes,22500000.0,63350000.0,20,614,600000,16500000,20800000,11600000,Approved,49
108,0,Graduate,No,6750000.0,37100000.0,20,441,1300000,2700000,9900000,1800000,Approved,63
109,1,Graduate,Yes,24250000.0,125650000.0,20,569,19600000,7600000,20400000,10900000,Approved,60
110,2,Graduate,No,8250000.0,23800000.0,20,300,3400000,300000,11700000,3600000,Rejected,43
111,0,Not Graduate,No,750000.0,3850000.0,20,628,800000,200000,900000,100000,Approved,55
112,3,Graduate,Yes,18500000.0,63700000.0,20,300,5600000,3100000,17900000,5000000,Rejected,56
113,5,Not Graduate,No,17750000.0,68950000.0,20,352,7300000,5600000,25300000,9800000,Rejected,67
114,5,Not Graduate,Yes,18250000.0,77350000.0,20,729,19500000,10600000,19300000,9800000,Approved,60
115,1,Not Graduate,No,21000000.0,81900000.0,20,300,15400000,5800000,33400000,8100000,Rejected,59
116,0,Not Graduate,Yes,8250000.0,37800000.0,20,647,600000,6000000,7700000,3300000,Approved,48
117,4,Not Graduate,Yes,14500000.0,81200000.0,20,306,16100000,4200000,22600000,7500000,Rejected,55
118,0,Not Graduate,No,1500000.0,5600000.0,20,497,1500000,600000,1500000,700000,Approved,47
119,0,Not Graduate,No,18000000.0,55300000.0,20,300,12700000,12200000,21500000,3600000,Rejected,46
120,1,Not Graduate,Yes,22750000.0,115150000.0,20,567,2200000,2000000,23600000,5900000,Approved,59
121,5,Graduate,No,2250000.0,8050000.0,20,395,100000,200000,2700000,800000,Rejected,62
122,2,Graduate,No,2000000.0,11200000.0,20,300,300000,1000000,2000000,900000,Rejected,69
123,1,Not Graduate,No,21250000.0,115150000.0,20,420,5100000,6200000,20500000,5500000,Approved,60
124,0,Not Graduate,Yes,22500000.0,65450000.0,20,715,26800000,0,20900000,11300000,Approved,46
125,3,Graduate,No,17500000.0,68250000.0,20,569,12200000,10300000,18200000,10200000,Approved,62
126,3,Graduate,No,500000.0,2100000.0,20,671,400000,100000,500000,100000,Approved,60
127,4,Not Graduate,Yes,1000000.0,2800000.0,20,709,900000,500000,800000,200000,Approved,51
128,3,Not Graduate,No,12750000.0,63700000.0,20,300,100000,8000000,15500000,6300000,Rejected,62
129,2,Not Graduate,Yes,1750000.0,9100000.0,20,300,1600000,1300000,2700000,800000,Rejected,41
130,3,Graduate,No,1000000.0,4200000.0,20,711,200000,600000,1100000,200000,Approved,68
131,0,Not Graduate,Yes,23750000.0,72800000.0,20,415,15100000,11900000,33900000,13400000,Approved,57
132,5,Graduate,No,22000000.0,79100000.0,20,300,7900000,8600000,18200000,4900000,Rejected,49
133,3,Not Graduate,Yes,4500000.0,12600000.0,20,315,600000,500000,5400000,2600000,Rejected,55
134,4,Not Graduate,Yes,17000000.0,48650000.0,20,329,11700000,9100000,25700000,9600000,Rejected,49
135,3,Not Graduate,No,3750000.0,19250000.0,20,567,2100000,800000,4400000,1300000,Approved,43
136,3,Graduate,No,4000000.0,19250000.0,20,300,600000,800000,5400000,900000,Rejected,68
137,2,Not Graduate,No,11500000.0,58450000.0,20,636,200000,5900000,13900000,6100000,Approved,59
138,5,Not Graduate,Yes,5500000.0,23450000.0,20,300,4400000,1300000,8600000,1100000,Rejected,60
139,3,Not Graduate,Yes,7250000.0,29750000.0,20,414,1000000,3100000,7500000,1800000,Approved,55
140,0,Graduate,No,500000.0,2450000.0,20,351,500000,200000,700000,100000,Rejected,69
141,2,Not Graduate,Yes,6250000.0,32900000.0,20,577,6600000,4100000,9500000,3300000,Approved,69
142,4,Not Graduate,No,9000000.0,26250000.0,20,744,1100000,6500000,7400000,2800000,Approved,44
143,0,Graduate,Yes,13750000.0,58450000.0,20,679,5500000,1300000,12800000,5900000,Approved,41
144,4,Not Graduate,No,16500000.0,60900000.0,20,356,2600000,10000000,25900000,7200000,Rejected,40
145,2,Graduate,Yes,21500000.0,112350000.0,20,652,9400000,16700000,24500000,9800000,Approved,42
146,5,Not Graduate,No,1500000.0,5250000.0,20,393,300000,900000,2100000,300000,Rejected,64
147,3,Graduate,Yes,3500000.0,11200000.0,20,622,2400000,900000,5100000,1600000,Approved,68
148,3,Graduate,No,10000000.0,38850000.0,20,422,9700000,100000,12500000,2400000,Approved,51
149,0,Not Graduate,Yes,12250000.0,41650000.0,20,559,14600000,900000,18500000,3800000,Approved,61
150,5,Graduate,No,5000000.0,21700000.0,20,300,4000000,2100000,7200000,1100000,Rejected,64
151,1,Not Graduate,Yes,13000000.0,67550000.0,20,331,14300000,9500000,18800000,4200000,Rejected,59
152,5,Graduate,Yes,22250000.0,100800000.0,20,622,13600000,5500000,20400000,8400000,Approved,53
153,1,Graduate,Yes,16250000.0,72100000.0,20,300,15900000,1900000,18100000,3200000,Approved,67
154,2,Not Graduate,No,3250000.0,15750000.0,20,300,0,900000,2900000,1200000,Rejected,47
155,3,Not Graduate,No,23500000.0,122500000.0,20,398,18200000,4400000,36100000,4800000,Rejected,44
156,5,Not Graduate,No,12500000.0,39200000.0,20,551,9100000,500000,14000000,4600000,Approved,59
157,2,Graduate,No,7500000.0,26950000.0,20,740,4700000,4300000,8400000,2100000,Approved,56
158,5,Not Graduate,Yes,24750000.0,116550000.0,20,300,5300000,18700000,27800000,8300000,Rejected,44
159,5,Graduate,Yes,1750000.0,4550000.0,20,554,1600000,0,2200000,600000,Approved,61
160,3,Graduate,Yes,10000000.0,37100000.0,20,300,1500000,5100000,8000000,4900000,Rejected,64
161,5,Not Graduate,No,7750000.0,33600000.0,20,611,5800000,1800000,10400000,4200000,Approved,45
162,4,Not Graduate,No,11250000.0,52850000.0,20,543,3700000,1500000,17800000,6000000,Approved,63
163,3,Not Graduate,No,24250000.0,72100000.0,20,374,24200000,11100000,27400000,6100000,Rejected,42
164,2,Not Graduate,Yes,5000000.0,18550000.0,20,531,4900000,1400000,4300000,2900000,Approved,48
165,2,Graduate,Yes,20250000.0,78050000.0,20,587,22300000,12600000,27000000,7300000,Approved,47
166,0,Not Graduate,No,14250000.0,55650000.0,20,488,100000,9500000,16300000,4500000,Approved,53
167,4,Not Graduate,No,14500000.0,44800000.0,20,506,500000,5000000,16000000,2800000,Approved,41
168,1,Graduate,No,4500000.0,22750000.0,20,390,2500000,3200000,5000000,1100000,Rejected,62
169,4,Not Graduate,Yes,22750000.0,123200000.0,20,300,1000000,300000,23100000,8200000,Rejected,53
170,0,Not Graduate,Yes,12000000.0,61250000.0,20,300,11700000,6800000,18700000,3500000,Approved,45
171,3,Not Graduate,Yes,9500000.0,36750000.0,20,736,4000000,500000,14900000,2300000,Approved,53
172,0,Not Graduate,No,4750000.0,14350000.0,20,651,400000,800000,4800000,1200000,Approved,66
173,3,Not Graduate,Yes,9000000.0,33250000.0,20,598,7700000,2400000,9700000,2600000,Approved,57
174,2,Not Graduate,Yes,18500000.0,98700000.0,20,300,21900000,5000000,17400000,5200000,Rejected,63
175,4,Not Graduate,Yes,16500000.0,50050000.0,20,300,10800000,9500000,18500000,7400000,Rejected,61
176,2,Graduate,No,4500000.0,18550000.0,20,676,4500000,700000,6500000,1300000,Approved,68
177,4,Not Graduate,No,23000000.0,95200000.0,20,723,4500000,1800000,33800000,11400000,Approved,55
178,5,Not Graduate,Yes,6000000.0,30100000.0,20,300,500000,600000,5700000,2800000,Rejected,47
179,4,Not Graduate,No,14000000.0,46550000.0,20,719,3300000,7500000,20000000,6500000,Approved,66
180,5,Graduate,No,9500000.0,48650000.0,20,384,4700000,2900000,8200000,2800000,Rejected,68
181,3,Not Graduate,Yes,11250000.0,62650000.0,20,637,9800000,3600000,14300000,4200000,Approved,61
182,0,Graduate,Yes,2250000.0,7700000.0,20,416,100000,700000,2000000,600000,Approved,53
183,0,Not Graduate,No,7000000.0,34650000.0,20,592,4900000,1300000,6700000,1700000,Approved,56
184,2,Not Graduate,No,18750000.0,80850000.0,20,674,12100000,10900000,26300000,9500000,Approved,67
185,4,Graduate,No,3500000.0,10850000.0,20,425,3000000,2100000,4900000,1400000,Approved,59
186,2,Graduate,Yes,9500000.0,38150000.0,20,616,1900000,3900000,8600000,3000000,Approved,44
187,1,Not Graduate,Yes,4250000.0,17500000.0,20,738,2900000,900000,4100000,2200000,Approved,63
188,3,Graduate,Yes,22500000.0,106400000.0,20,488,16800000,11000000,26900000,9200000,Approved,62
189,5,Not Graduate,Yes,18250000.0,81550000.0,20,472,7100000,11600000,26400000,10500000,Approved,40
190,1,Not Graduate,No,18500000.0,69300000.0,20,308,12600000,6200000,27700000,4000000,Rejected,57
191,1,Not Graduate,No,22500000.0,98700000.0,20,300,1700000,2300000,24000000,11200000,Rejected,65
192,0,Not Graduate,No,7500000.0,22750000.0,20,462,8800000,3400000,6700000,1700000,Approved,49
193,1,Graduate,No,2000000.0,10150000.0,20,532,2200000,1100000,2900000,700000,Approved,54
194,2,Graduate,No,12000000.0,46200000.0,20,433,13700000,5800000,9500000,5200000,Approved,52
195,5,Not Graduate,No,16000000.0,64050000.0,20,547,10000000,3600000,22500000,3600000,Approved,65
196,3,Graduate,No,23000000.0,94850000.0,20,300,5800000,11500000,28000000,9600000,Rejected,49
197,4,Not Graduate,Yes,1000000.0,5250000.0,20,519,-100000,600000,900000,500000,Approved,62
198,2,Not Graduate,No,7000000.0,21000000.0,20,666,6300000,4200000,8000000,3400000,Approved,52
199,4,Not Graduate,Yes,21250000.0,101150000.0,20,305,15200000,5800000,22500000,9400000,Rejected,65
200,3,Graduate,Yes,11750000.0,57400000.0,20,300,11400000,8100000,16200000,4300000,Rejected,58
201,4,Not Graduate,Yes,24500000.0,74200000.0,20,300,22000000,8900000,31800000,14400000,Rejected,43
202,2,Not Graduate,Yes,9500000.0,31150000.0,20,300,200000,5600000,12200000,2200000,Rejected,54
203,2,Graduate,No,1250000.0,5250000.0,20,738,1500000,300000,1500000,600000,Approved,48
204,2,Graduate,Yes,17250000.0,54600000.0,20,300,13000000,5300000,22600000,10000000,Rejected,55
205,4,Not Graduate,Yes,24000000.0,105350000.0,20,720,300000,6700000,38200000,5600000,Approved,58
206,3,Not Graduate,No,7250000.0,22750000.0,20,677,8300000,600000,10400000,3200000,Approved,45
207,2,Graduate,No,24500000.0,73150000.0,20,618,3400000,10200000,38600000,13400000,Approved,57
208,0,Graduate,No,17750000.0,53900000.0,20,557,10300000,10800000,19600000,5800000,Approved,45
209,1,Not Graduate,Yes,19250000.0,66850000.0,20,300,11300000,4900000,21900000,6600000,Rejected,65
210,3,Graduate,No,3500000.0,11550000.0,20,502,100000,2100000,3500000,1900000,Approved,61
211,3,Graduate,No,19500000.0,55650000.0,20,515,14400000,900000,27200000,5400000,Approved,42
212,5,Not Graduate,Yes,4250000.0,21000000.0,20,300,500000,1600000,3700000,2300000,Rejected,54
213,2,Not Graduate,No,21250000.0,114450000.0,20,321,12600000,9400000,33900000,12500000,Rejected,66
214,5,Not Graduate,No,4750000.0,26250000.0,20,565,5100000,2800000,6500000,2800000,Approved,49
215,2,Not Graduate,Yes,16750000.0,53200000.0,20,539,0,8200000,15000000,6800000,Approved,53
216,3,Graduate,Yes,17250000.0,57400000.0,20,637,11100000,6100000,26400000,3800000,Approved,64
217,2,Graduate,No,6500000.0,27300000.0,20,669,3100000,4300000,5700000,1500000,Approved,65
218,4,Graduate,Yes,24000000.0,73850000.0,20,659,16100000,9500000,34700000,8700000,Approved,68
219,1,Not Graduate,Yes,17000000.0,59500000.0,20,594,15500000,3900000,23700000,3500000,Approved,46
220,0,Not Graduate,No,8000000.0,39550000.0,20,334,3500000,5500000,8500000,2100000,Rejected,62
221,4,Not Graduate,No,7250000.0,36400000.0,20,523,5100000,1700000,10600000,1700000,Approved,44
222,3,Graduate,Yes,19750000.0,74200000.0,20,545,13800000,10600000,21800000,4900000,Approved,54
223,4,Not Graduate,Yes,9750000.0,43400000.0,20,323,6400000,4700000,13100000,3800000,Rejected,66
224,4,Graduate,Yes,11500000.0,38500000.0,20,341,9000000,4000000,16100000,3500000,Rejected,53
225,3,Not Graduate,Yes,1750000.0,5950000.0,20,583,1200000,800000,2400000,500000,Approved,64
226,0,Not Graduate,No,13000000.0,54600000.0,20,300,14100000,5800000,18100000,5500000,Rejected,60
227,3,Not Graduate,Yes,14750000.0,72100000.0,20,627,1900000,4600000,21200000,6400000,Approved,49
228,4,Graduate,No,18000000.0,66850000.0,20,624,9400000,7000000,17900000,3600000,Approved,49
229,1,Not Graduate,Yes,21750000.0,94500000.0,20,567,25500000,8600000,17500000,9100000,Approved,42
230,3,Not Graduate,Yes,2750000.0,12250000.0,20,353,3000000,400000,2200000,1200000,Rejected,62
231,1,Graduate,Yes,10000000.0,38150000.0,20,448,3600000,6600000,13600000,4400000,Approved,65
232,2,Graduate,No,24500000.0,113400000.0,20,393,24200000,17500000,25700000,7700000,Approved,43
233,0,Not Graduate,Yes,6750000.0,23800000.0,20,646,700000,4200000,7000000,1900000,Approved,48
234,3,Not Graduate,Yes,22000000.0,121100000.0,20,300,14800000,16500000,18400000,6000000,Rejected,44
235,5,Not Graduate,Yes,8250000.0,27300000.0,20,482,8500000,500000,7100000,4900000,Approved,68
236,1,Graduate,Yes,17250000.0,81900000.0,20,331,18700000,1100000,23400000,10200000,Approved,47
237,3,Graduate,Yes,2250000.0,12250000.0,20,620,700000,0,2000000,600000,Rejected,62
238,3,Graduate,Yes,10250000.0,54250000.0,20,517,2800000,1600000,14700000,4000000,Approved,42
239,3,Not Graduate,Yes,11750000.0,61250000.0,20,435,1200000,3100000,9600000,4900000,Approved,44
240,5,Graduate,Yes,8500000.0,40600000.0,20,329,9200000,5700000,11200000,2400000,Rejected,56
241,2,Graduate,No,24000000.0,78750000.0,20,701,7400000,16200000,24300000,12700000,Approved,53
242,3,Not Graduate,Yes,17500000.0,56700000.0,20,300,20000000,12600000,20300000,5500000,Rejected,63
243,5,Graduate,No,14250000.0,45150000.0,20,657,4100000,900000,18600000,5500000,Approved,52
244,1,Not Graduate,Yes,20500000.0,113400000.0,20,681,22800000,12300000,17700000,7800000,Approved,52
245,2,Not Graduate,No,5250000.0,17850000.0,20,524,2200000,3200000,6400000,2400000,Approved,44
246,1,Not Graduate,Yes,20000000.0,98350000.0,20,575,1900000,12800000,23000000,7500000,Approved,48
247,2,Not Graduate,No,20000000.0,102550000.0,20,450,16500000,13200000,29400000,6500000,Approved,60
248,0,Not Graduate,Yes,23500000.0,94500000.0,20,386,4400000,1700000,33800000,4800000,Rejected,61
249,0,Graduate,No,21000000.0,72100000.0,20,327,1500000,1500000,25000000,11900000,Rejected,53
250,1,Not Graduate,Yes,4750000.0,17500000.0,20,410,1000000,1900000,6300000,1400000,Approved,51
251,0,Not Graduate,Yes,10500000.0,57400000.0,20,389,9500000,2100000,11400000,3100000,Rejected,63
252,5,Graduate,No,6500000.0,31850000.0,20,702,3700000,700000,10300000,3300000,Approved,60
253,3,Not Graduate,No,9250000.0,29750000.0,20,703,8300000,5700000,7500000,4900000,Approved,64
254,0,Graduate,No,22000000.0,108150000.0,20,579,1700000,700000,25700000,11400000,Approved,59
255,2,Not Graduate,No,5250000.0,16450000.0,20,396,6000000,3200000,5700000,1500000,Rejected,47
256,3,Graduate,Yes,2250000.0,8400000.0,20,339,800000,0,2800000,500000,Rejected,53
257,3,Graduate,Yes,24500000.0,123900000.0,20,719,14400000,16400000,22800000,10300000,Approved,49
258,2,Not Graduate,No,20000000.0,70000000.0,20,352,4100000,2200000,31600000,9900000,Rejected,47
259,0,Graduate,No,24500000.0,135800000.0,20,502,23200000,19000000,29700000,5400000,Approved,49
260,0,Not Graduate,Yes,750000.0,3850000.0,20,639,400000,100000,800000,400000,Approved,40
261,4,Not Graduate,No,6750000.0,28350000.0,20,300,5000000,800000,9900000,3400000,Approved,49
262,3,Graduate,Yes,18500000.0,68600000.0,20,566,4100000,8900000,29100000,4200000,Approved,55
263,3,Graduate,No,23000000.0,120050000.0,20,373,25600000,4000000,29100000,8800000,Rejected,46
264,5,Not Graduate,No,23750000.0,77700000.0,20,300,24500000,0,30800000,7000000,Rejected,51
265,5,Graduate,Yes,9500000.0,50400000.0,20,300,3300000,800000,13000000,4700000,Approved,49
266,0,Graduate,No,20750000.0,67900000.0,20,499,2500000,16100000,24300000,11300000,Approved,46
267,2,Graduate,Yes,7000000.0,25900000.0,20,516,100000,2300000,6300000,3400000,Approved,54
268,0,Graduate,No,21500000.0,73150000.0,20,663,11300000,11900000,26000000,4800000,Approved,42
269,0,Not Graduate,No,13500000.0,58800000.0,20,449,5300000,7400000,14500000,7600000,Approved,45
270,5,Graduate,Yes,10500000.0,32900000.0,20,528,4700000,5500000,9900000,5700000,Approved,46
271,5,Not Graduate,No,13000000.0,42700000.0,20,363,13400000,2000000,16800000,5400000,Rejected,59
