loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
2724,3,Graduate,Yes,7621138,18100000,20,711,7800000,14500000,29100000,10000000,Approved
8292,1,Not Graduate,No,490625,3500000,20,504,2400000,100000,800000,1400000,Rejected
3071,3,Graduate,Yes,9863269,19700000,6,638,16700000,2200000,36200000,5200000,Approved
6374,2,Not Graduate,No,6966376,15300000,18,546,3700000,12200000,14600000,4200000,Approved
9243,1,Not Graduate,Yes,1090665,2800000,14,609,1600000,100000,3000000,1200000,Approved
7913,5,Not Graduate,Yes,694242,2800000,12,788,800000,200000,1800000,700000,Approved
2680,0,Graduate,No,3057103,8100000,20,743,400000,1600000,11600000,2400000,Approved
8967,5,Graduate,No,8308909,28900000,8,807,25200000,2400000,25500000,7800000,Approved
4679,5,Not Graduate,No,2111426,7400000,18,546,3000000,2900000,2600000,4200000,Approved
3028,4,Not Graduate,Yes,5840189,20700000,12,800,11700000,7900000,21000000,8500000,Approved
4054,1,Not Graduate,Yes,7098587,20300000,16,812,7700000,2200000,19700000,5500000,Approved
8774,0,Not Graduate,No,8419571,27100000,20,590,17700000,5300000,23300000,7000000,Approved
8800,0,Graduate,No,1506760,7200000,4,521,0,900000,5700000,3300000,Rejected
1020,2,Not Graduate,Yes,3011079,7800000,16,530,6600000,2700000,9600000,1700000,Approved
6533,5,Graduate,No,2698161,9100000,14,557,1100000,1300000,9300000,3300000,Approved
2317,4,Graduate,Yes,8490445,27900000,10,433,22400000,1800000,34000000,11700000,Rejected
1834,1,Graduate,No,7716549,27300000,10,484,10100000,2200000,20200000,10800000,Rejected
445,1,Not Graduate,Yes,3595711,10300000,14,511,6800000,500000,12200000,2700000,Rejected
1549,5,Graduate,No,702313,1900000,6,759,500000,1000000,2100000,600000,Approved
165,2,Graduate,Yes,8014532,22300000,20,712,22300000,12600000,27000000,7300000,Approved
4356,3,Graduate,Yes,8726395,28100000,16,796,8800000,5700000,25300000,6100000,Approved
1207,2,Not Graduate,Yes,5171389,13700000,8,534,7800000,9800000,12700000,5100000,Approved
6142,4,Not Graduate,Yes,7837716,21400000,12,442,2700000,11000000,14900000,4400000,Rejected
6753,3,Graduate,Yes,6965407,20000000,8,705,500000,4800000,17600000,4800000,Approved
2183,3,Graduate,No,5502382,20600000,8,462,6400000,9700000,20200000,4100000,Rejected
7736,4,Not Graduate,Yes,5560472,13000000,16,856,7100000,8300000,19800000,4800000,Approved
4790,0,Graduate,Yes,4545550,16500000,4,670,11000000,10500000,12200000,1500000,Approved
504,4,Not Graduate,No,2170029,7000000,20,731,3600000,3900000,5700000,1200000,Approved
786,2,Not Graduate,Yes,609274,2100000,20,547,400000,500000,1400000,300000,Approved
1592,1,Graduate,No,9352874,23000000,12,602,28500000,11500000,21700000,9100000,Approved
7893,4,Graduate,Yes,5509519,15400000,20,607,9900000,4800000,10200000,7100000,Approved
1993,0,Not Graduate,Yes,7441615,22600000,14,826,3300000,3400000,24800000,5300000,Approved
3137,3,Graduate,No,7289279,17500000,20,300,17700000,14000000,27000000,9500000,Rejected
1677,1,Graduate,No,1597607,4000000,12,590,2200000,2700000,5500000,1400000,Approved
4349,4,Graduate,Yes,304969,700000,14,464,700000,0,1400000,800000,Rejected
8746,3,Graduate,No,7370358,18300000,20,496,24100000,2500000,21500000,10800000,Rejected
8086,2,Not Graduate,Yes,8452185,23400000,20,774,4500000,5400000,32200000,7100000,Approved
3475,3,Not Graduate,Yes,5456911,16800000,18,525,10700000,6400000,13400000,7000000,Approved
5835,5,Graduate,Yes,4102474,5200000,14,507,3500000,2500000,8700000,2000000,Rejected
9787,0,Not Graduate,Yes,3734972,11600000,16,831,17400000,400000,9400000,2900000,Approved
2254,0,Graduate,Yes,2255874,7900000,12,405,6600000,2800000,8100000,1900000,Rejected
7532,3,Graduate,No,5258727,16000000,4,759,5300000,7600000,16600000,5300000,Approved
5095,3,Graduate,Yes,1718065,7300000,18,814,1700000,1800000,6800000,900000,Approved
9921,4,Not Graduate,Yes,8439180,22200000,14,862,6300000,13900000,27100000,4900000,Approved
8387,2,Not Graduate,Yes,2342704,13400000,14,486,100000,4300000,5500000,2000000,Rejected
6488,1,Graduate,Yes,6197296,19800000,14,714,4400000,6900000,13300000,3800000,Approved
223,4,Not Graduate,Yes,3839698,12400000,14,448,6400000,4700000,13100000,3800000,Rejected
2093,2,Not Graduate,No,1471904,3800000,6,751,2800000,0,5300000,1400000,Approved
1476,5,Not Graduate,No,9764859,28400000,6,469,5300000,12000000,24400000,10000000,Rejected
259,0,Graduate,No,9760345,38800000,10,627,23200000,19000000,29700000,5400000,Approved
9295,2,Graduate,Yes,4264558,13100000,14,669,7000000,5900000,9700000,3100000,Approved
2301,1,Graduate,No,9717081,26900000,20,767,15900000,14100000,25200000,11900000,Approved
3727,2,Not Graduate,No,8365672,28300000,12,797,1800000,16000000,33000000,4400000,Approved
1193,3,Graduate,Yes,9151273,26100000,16,611,4700000,16100000,34500000,11600000,Approved
5848,4,Not Graduate,No,9664847,38200000,6,667,15000000,3600000,37900000,12900000,Approved
7755,1,Graduate,No,505464,1700000,10,364,1200000,900000,2400000,300000,Rejected
6208,1,Not Graduate,No,9515092,31300000,14,300,24400000,18800000,27000000,6800000,Rejected
6809,2,Graduate,Yes,5251536,15700000,8,601,1600000,2700000,10200000,5000000,Approved
2888,0,Graduate,No,4688569,15200000,12,761,11100000,8000000,9600000,3200000,Approved
3723,3,Graduate,No,6870900,21700000,16,756,5400000,8500000,19300000,9600000,Approved
7298,4,Not Graduate,No,201584,800000,12,334,0,400000,500000,100000,Rejected
2123,2,Graduate,No,4792574,17700000,16,650,5800000,7200000,13100000,6500000,Approved
4877,3,Not Graduate,No,7849536,22700000,16,330,5400000,5500000,22300000,3600000,Rejected
7197,2,Not Graduate,Yes,6452817,13000000,12,786,13000000,3100000,23000000,5200000,Approved
7857,0,Graduate,No,4804435,20800000,6,591,8200000,10800000,14100000,5400000,Approved
5960,4,Graduate,Yes,6363787,14400000,20,857,11000000,3300000,18600000,3400000,Approved
412,1,Graduate,Yes,3516031,7200000,4,840,4100000,3200000,11900000,4200000,Approved
4513,0,Graduate,No,1868313,6400000,4,768,7300000,800000,5100000,1400000,Approved
6780,3,Graduate,No,9008574,24600000,14,631,20200000,1600000,26000000,8700000,Approved
5417,4,Not Graduate,No,8136046,19700000,14,515,800000,3900000,24300000,5300000,Rejected
9871,5,Not Graduate,No,1524338,3000000,20,873,2500000,1000000,4600000,1100000,Approved
9723,0,Graduate,No,508929,1300000,16,504,1900000,1000000,1900000,1000000,Rejected
8073,3,Not Graduate,Yes,1969592,7300000,12,601,5700000,10200000,8000000,4700000,Approved
6874,2,Graduate,Yes,2414509,4500000,6,814,7600000,100000,14900000,2800000,Approved
4292,5,Graduate,No,9893411,37900000,4,335,21400000,12400000,36100000,14100000,Rejected
909,4,Not Graduate,No,3531699,10200000,14,308,7600000,6400000,8100000,3400000,Rejected
2050,5,Not Graduate,Yes,9527971,23200000,16,860,16900000,1200000,34900000,4700000,Approved
9464,0,Not Graduate,Yes,1409518,2900000,6,329,10600000,600000,2300000,1300000,Rejected
8160,4,Not Graduate,No,4378487,15800000,12,424,1700000,9700000,11400000,4200000,Rejected
6156,1,Not Graduate,No,4545447,20300000,14,704,13800000,9300000,10500000,3300000,Approved
8777,3,Graduate,Yes,4401692,14600000,12,819,5200000,1300000,10400000,4200000,Approved
3102,1,Not Graduate,Yes,1616463,4400000,6,339,2500000,700000,4300000,2400000,Rejected
4003,1,Graduate,No,4558225,12700000,10,443,10400000,0,14500000,3900000,Rejected
9693,1,Not Graduate,Yes,5766914,18600000,16,601,1400000,3200000,16000000,500000,Approved
399,2,Not Graduate,No,8405641,25900000,18,596,8600000,13400000,33500000,4200000,Approved
8062,4,Not Graduate,Yes,9370824,26300000,12,775,18300000,14600000,28100000,8800000,Approved
1688,4,Graduate,No,1717254,4300000,20,555,1500000,2400000,6600000,1700000,Approved
6863,3,Not Graduate,Yes,884334,2400000,20,805,2100000,700000,1600000,900000,Approved
7272,0,Graduate,Yes,9265552,28800000,14,425,18500000,8600000,30800000,9600000,Rejected
368,1,Not Graduate,Yes,9580143,29800000,12,352,24100000,18500000,30900000,11700000,Rejected
5286,1,Not Graduate,No,3043243,13700000,4,819,8600000,2100000,7000000,1200000,Approved
6318,5,Graduate,Yes,9501927,30200000,16,359,18200000,2300000,30900000,13100000,Rejected
1395,3,Not Graduate,No,6939923,21600000,14,714,1600000,7600000,24500000,8400000,Approved
120,1,Not Graduate,Yes,9143872,32900000,4,692,2200000,2000000,23600000,5900000,Approved
7112,3,Not Graduate,No,2720661,11700000,4,579,1500000,1500000,6500000,3100000,Approved
6066,1,Graduate,No,3403467,5500000,20,751,1900000,100000,12300000,3100000,Approved
2166,4,Graduate,Yes,886317,2500000,6,558,1300000,800000,1800000,1100000,Approved
6478,0,Graduate,No,1009077,4000000,20,750,4100000,100000,2200000,1500000,Approved
6504,2,Not Graduate,Yes,6767817,25100000,6,870,11000000,9900000,26500000,6700000,Approved
5522,5,Graduate,No,6061033,15000000,16,832,200000,700000,14900000,5700000,Approved
3654,1,Graduate,Yes,4233995,17200000,6,539,10400000,6600000,11500000,2200000,Approved
9066,2,Graduate,Yes,4847771,12200000,8,859,200000,3400000,10300000,6700000,Approved
5383,4,Not Graduate,Yes,2721798,10700000,6,558,500000,8600000,6200000,4100000,Approved
2131,5,Not Graduate,Yes,7607140,23000000,12,804,3100000,7300000,17600000,7300000,Approved
8335,0,Not Graduate,No,6775101,15300000,20,631,5900000,14000000,22500000,5500000,Approved
3844,4,Not Graduate,No,8489707,29000000,4,438,12700000,1100000,20100000,6700000,Approved
21,2,Graduate,No,5036760,19400000,14,300,9500000,1600000,18000000,6100000,Rejected
5207,3,Graduate,No,1120939,2900000,16,740,1400000,2300000,7500000,2400000,Approved
5632,2,Graduate,Yes,3762735,10800000,14,739,3400000,500000,19000000,1100000,Approved
6349,0,Graduate,Yes,4521569,14700000,8,359,2700000,1500000,14000000,4900000,Rejected
7333,4,Graduate,No,7928162,28700000,16,778,2200000,9700000,28500000,8800000,Approved
3188,1,Graduate,No,8164781,29600000,6,647,8200000,5100000,21100000,5400000,Approved
9450,0,Graduate,No,9381173,30000000,20,369,22300000,9900000,32000000,7500000,Rejected
7673,5,Not Graduate,Yes,8736371,23400000,20,771,5400000,7000000,19300000,9200000,Approved
6010,2,Graduate,Yes,7191278,19700000,14,344,11100000,10900000,17500000,5400000,Rejected
8458,3,Not Graduate,Yes,1391639,5000000,20,866,3100000,300000,5300000,1700000,Approved
581,4,Graduate,Yes,8728855,26300000,12,344,23900000,7000000,27400000,12100000,Rejected
1635,0,Graduate,Yes,9736687,38700000,4,586,6600000,10400000,33000000,6000000,Approved
693,1,Not Graduate,No,7227739,24700000,8,571,8800000,1400000,21700000,5800000,Approved
6618,1,Graduate,Yes,9591874,28600000,10,323,13400000,14600000,26800000,13600000,Rejected
3865,5,Not Graduate,Yes,1114904,3900000,6,866,1100000,200000,3400000,900000,Approved
4904,4,Graduate,Yes,6828883,24900000,14,794,17800000,4500000,16300000,4200000,Approved
4726,0,Not Graduate,No,2100452,6100000,16,461,3200000,100000,8800000,4100000,Rejected
970,2,Not Graduate,Yes,5891664,13000000,14,437,2100000,2500000,14600000,5600000,Rejected
1683,1,Not Graduate,Yes,4043331,9400000,10,484,1000000,4100000,10800000,5500000,Rejected
7691,3,Not Graduate,No,9563868,30700000,12,358,22800000,11800000,29300000,12000000,Rejected
9316,1,Not Graduate,No,5418787,9400000,12,484,800000,1900000,14900000,3700000,Rejected
1041,3,Not Graduate,Yes,8123816,28800000,12,551,18800000,7500000,16300000,11900000,Approved
3624,2,Not Graduate,Yes,8717016,28400000,14,855,8000000,1800000,19400000,4400000,Approved
7810,4,Not Graduate,Yes,3937968,11500000,4,332,19000000,2800000,12500000,2300000,Rejected
2948,1,Not Graduate,Yes,3375253,9700000,20,805,3500000,6400000,10300000,4800000,Approved
6829,3,Not Graduate,Yes,6800709,21400000,12,398,22800000,13400000,23000000,8000000,Rejected
581,4,Graduate,Yes,8991435,26300000,12,344,23900000,7000000,27400000,12100000,Rejected
1711,1,Graduate,No,3067092,7600000,20,321,700000,4600000,8100000,4400000,Rejected
6948,2,Not Graduate,No,9045565,23300000,16,470,14700000,9400000,25300000,12100000,Rejected
267,2,Graduate,Yes,2841101,7400000,20,641,100000,2300000,6300000,3400000,Approved
7748,2,Not Graduate,No,1105948,2000000,18,368,900000,900000,8000000,2300000,Rejected
9450,0,Graduate,No,9349419,30000000,20,369,22300000,9900000,32000000,7500000,Rejected
9975,2,Graduate,No,5032695,23000000,8,457,7700000,1800000,13700000,6800000,Rejected
7260,0,Not Graduate,Yes,9068306,29100000,12,609,15600000,12200000,27100000,7900000,Approved
9180,2,Graduate,No,9855592,38800000,16,703,18800000,11900000,38000000,14400000,Approved
5273,5,Not Graduate,Yes,6018453,20100000,14,324,8200000,1400000,18800000,4900000,Rejected
5509,4,Not Graduate,No,603293,2400000,14,855,4600000,200000,1500000,1000000,Approved
1379,1,Graduate,Yes,7861653,29200000,4,638,19600000,12100000,28600000,10100000,Approved
2342,1,Graduate,Yes,7958137,30600000,12,695,23700000,8500000,24900000,9700000,Approved
3341,4,Graduate,Yes,4361146,16400000,8,488,5400000,7500000,13100000,5700000,Rejected
9773,2,Graduate,No,1885878,5700000,14,866,2300000,2000000,3800000,500000,Approved
8975,4,Not Graduate,Yes,5823826,11300000,14,718,12400000,4800000,16300000,2600000,Approved
2266,0,Not Graduate,Yes,3668935,9700000,14,476,2600000,6600000,9200000,4600000,Rejected
330,4,Not Graduate,No,201242,600000,12,379,0,100000,400000,0,Rejected
7215,4,Graduate,Yes,5876107,16800000,14,823,6800000,4900000,8600000,4100000,Approved
6358,1,Not Graduate,No,5197523,20500000,4,323,6500000,6600000,18300000,5700000,Rejected
4132,1,Graduate,No,1001272,3000000,20,589,1800000,1700000,3700000,700000,Approved
1348,5,Graduate,Yes,7649828,22000000,20,503,5800000,8800000,24700000,4900000,Rejected
706,1,Not Graduate,No,2794656,6700000,14,300,1900000,2000000,8600000,2100000,Rejected
3262,0,Not Graduate,Yes,2844587,6300000,14,622,4100000,0,8700000,2300000,Approved
3551,2,Not Graduate,No,9250215,18600000,20,378,18400000,11700000,20300000,9200000,Rejected
8749,4,Not Graduate,Yes,2875597,13500000,16,812,4200000,2300000,8800000,6200000,Approved
9745,1,Not Graduate,No,2079304,5000000,14,666,700000,300000,4800000,2300000,Approved
4930,1,Graduate,Yes,2338825,3600000,18,812,2300000,4000000,5200000,600000,Approved
9562,2,Not Graduate,Yes,5126270,10500000,20,655,3600000,0,16700000,6200000,Approved
2798,2,Not Graduate,Yes,4690602,16000000,6,695,0,4000000,12300000,4200000,Approved
7426,3,Not Graduate,Yes,4042004,14400000,8,753,400000,700000,10800000,3200000,Approved
6712,2,Not Graduate,No,2808252,11400000,14,411,9000000,7900000,10300000,3800000,Rejected
964,0,Graduate,No,4977184,14400000,6,849,3000000,9300000,14100000,3900000,Approved
4933,2,Graduate,Yes,1410301,4900000,18,496,1900000,1100000,5000000,3100000,Rejected
8036,1,Not Graduate,Yes,3138800,4000000,12,762,1800000,2800000,6000000,1500000,Approved
9758,0,Not Graduate,Yes,2006818,11700000,16,560,6000000,1300000,7300000,1300000,Approved
168,1,Graduate,No,1783758,6500000,8,515,2500000,3200000,5000000,1100000,Rejected
648,0,Graduate,No,2960883,9600000,14,595,7900000,0,8600000,3600000,Approved
7772,5,Graduate,No,3175042,6700000,16,763,1200000,3500000,11800000,2100000,Approved
5121,3,Not Graduate,No,8223726,21900000,18,478,3000000,9700000,20100000,10400000,Rejected
414,1,Graduate,No,4121169,8400000,20,583,1400000,8000000,10000000,4400000,Approved
942,4,Graduate,No,7068643,16900000,6,677,15900000,7100000,22000000,9600000,Approved
6727,2,Graduate,No,6228114,15300000,20,793,22000000,5200000,12800000,3500000,Approved
7003,1,Graduate,Yes,8659662,23300000,6,716,18500000,9900000,24800000,8200000,Approved
2129,3,Not Graduate,No,4588878,16100000,18,646,10500000,3600000,12400000,5800000,Approved
1055,5,Not Graduate,No,6475727,21600000,12,394,1600000,10900000,22300000,6600000,Rejected
6306,1,Not Graduate,Yes,8838561,27100000,10,602,4300000,9300000,26300000,6800000,Approved
1915,0,Not Graduate,No,502419,1800000,4,626,700000,0,1700000,200000,Approved
3944,2,Graduate,No,6132355,16900000,14,729,2300000,4200000,15300000,7900000,Approved
1092,4,Not Graduate,Yes,609910,2100000,8,533,1300000,1000000,2200000,300000,Approved
5619,3,Graduate,No,6943931,24400000,16,713,10300000,12200000,20400000,7200000,Approved
8361,5,Graduate,No,4012745,11000000,4,374,2300000,2300000,11100000,4900000,Rejected
2240,1,Not Graduate,Yes,5327526,18900000,18,336,300000,5000000,11900000,5500000,Rejected
927,3,Not Graduate,Yes,5215307,16300000,10,310,9500000,7000000,13600000,7300000,Rejected
9858,4,Not Graduate,No,7304324,23900000,12,418,4900000,7900000,16400000,8400000,Rejected
7182,4,Not Graduate,No,7105363,21200000,20,590,15800000,6900000,20700000,7500000,Approved
137,2,Not Graduate,No,4583301,16700000,4,761,200000,5900000,13900000,6100000,Approved
1228,5,Graduate,Yes,7463698,26500000,14,487,16500000,2900000,23700000,6000000,Rejected
8538,1,Not Graduate,No,3878913,11900000,4,643,600000,200000,7600000,3800000,Approved
9946,1,Not Graduate,Yes,9568833,27000000,6,781,7300000,14300000,30500000,9600000,Approved
9892,0,Graduate,Yes,2218592,10400000,12,532,9700000,2600000,6700000,3400000,Approved
8354,4,Graduate,No,4097448,13600000,14,547,13900000,400000,15400000,3000000,Approved
7792,2,Not Graduate,No,9240131,26000000,4,831,9000000,14800000,29300000,13100000,Approved
1340,5,Not Graduate,Yes,8883427,26600000,18,520,19100000,16600000,30400000,7600000,Rejected
7521,1,Not Graduate,No,3197712,12300000,20,646,14100000,4400000,6700000,1600000,Approved
8472,0,Graduate,No,4019729,14700000,8,494,900000,3600000,12000000,1400000,Rejected
2973,2,Graduate,No,4887436,18500000,10,467,12900000,5000000,10200000,5800000,Rejected
5450,3,Graduate,Yes,392153,1900000,12,530,2300000,1100000,700000,300000,Approved
7771,3,Not Graduate,No,6934509,20200000,18,602,11600000,1900000,25200000,5000000,Approved
6655,0,Graduate,No,9369924,36100000,16,300,20200000,11500000,26500000,9600000,Rejected
6552,3,Not Graduate,Yes,4768234,18000000,6,784,3900000,7900000,17600000,4600000,Approved
5397,3,Graduate,No,8873592,25400000,8,332,3900000,6300000,18300000,6000000,Rejected
2821,2,Not Graduate,Yes,8504502,20800000,14,310,6700000,12300000,18500000,10100000,Rejected
9878,0,Graduate,Yes,7431784,19900000,4,740,5400000,2800000,23700000,7800000,Approved
9647,3,Not Graduate,Yes,7207203,16700000,12,809,20400000,11600000,18100000,5400000,Approved
1633,1,Not Graduate,Yes,4653825,16000000,16,381,4000000,5300000,14300000,3300000,Rejected
8908,3,Graduate,Yes,9360468,29800000,4,681,9800000,12700000,32500000,11900000,Approved
1513,0,Not Graduate,No,9756042,38200000,10,396,1600000,14100000,33600000,13800000,Rejected
7390,2,Graduate,Yes,3937815,13400000,10,648,9600000,9100000,14900000,4900000,Approved
7825,0,Not Graduate,Yes,697137,2000000,18,479,400000,5700000,2800000,200000,Rejected
1447,1,Graduate,No,296705,1200000,20,722,100000,0,700000,200000,Rejected
6193,5,Not Graduate,No,3238026,12800000,4,710,2400000,2600000,11800000,1600000,Approved
2806,3,Graduate,No,2773610,10900000,4,685,600000,2400000,5600000,3600000,Approved
452,5,Graduate,Yes,493104,900000,20,593,1400000,600000,1200000,400000,Approved
9187,0,Not Graduate,Yes,7109346,19400000,8,343,9200000,5000000,15300000,2900000,Rejected
1960,2,Not Graduate,Yes,3330352,11300000,8,622,5100000,6000000,12800000,4400000,Approved
9708,1,Not Graduate,No,5185338,11100000,18,301,400000,500000,5800000,2300000,Rejected
3248,3,Graduate,Yes,1015500,2500000,8,783,2900000,600000,2000000,500000,Approved
7822,4,Not Graduate,No,8089117,25300000,4,742,20000000,8400000,20500000,7800000,Approved
4063,4,Graduate,No,8254557,24600000,4,357,1400000,1200000,16700000,6600000,Rejected
92,4,Graduate,No,8646220,20700000,20,515,19200000,3200000,22400000,12700000,Rejected
3107,0,Graduate,No,5560747,11600000,14,441,15000000,7400000,21800000,7500000,Rejected
9252,0,Not Graduate,No,8678851,30800000,14,333,9200000,12600000,28100000,8500000,Rejected
4056,0,Graduate,No,4934434,16300000,16,454,1600000,6400000,18600000,2700000,Rejected
9634,1,Not Graduate,Yes,8249103,22800000,8,300,13700000,16000000,24900000,8200000,Rejected
1590,1,Graduate,Yes,893932,1700000,20,439,1300000,0,1900000,700000,Rejected
3412,3,Graduate,Yes,6768892,16400000,4,483,4400000,10900000,25300000,9200000,Rejected
9214,4,Graduate,No,2635117,5200000,14,771,1200000,200000,6100000,2400000,Approved
709,0,Graduate,No,8895780,25800000,20,506,12400000,3400000,22900000,5400000,Rejected
6193,5,Not Graduate,No,3294680,12800000,4,710,2400000,2600000,11800000,1600000,Approved
5471,4,Not Graduate,No,2136442,10700000,8,437,14000000,300000,10100000,1300000,Rejected
8133,1,Not Graduate,No,2601313,5100000,8,334,3200000,2000000,6800000,1800000,Rejected
6033,2,Graduate,Yes,5244672,13600000,20,790,11200000,8500000,14700000,4300000,Approved
7707,0,Not Graduate,Yes,2174309,9200000,18,856,300000,300000,3000000,3700000,Approved
2839,4,Not Graduate,No,8737635,30100000,4,722,20600000,12900000,20700000,10300000,Approved
2295,3,Graduate,Yes,7639637,25300000,14,742,13200000,10800000,19400000,9600000,Approved
6195,4,Not Graduate,No,8457054,27500000,20,442,10400000,9200000,30500000,10900000,Rejected
8728,5,Graduate,Yes,9612886,29900000,20,330,18100000,10400000,31600000,12200000,Rejected
7849,3,Not Graduate,No,2711768,10600000,14,574,4900000,400000,6700000,3900000,Approved
7632,5,Graduate,No,4321334,16800000,8,758,1000000,1500000,18500000,5800000,Approved
3778,0,Not Graduate,No,5816364,19600000,16,648,8900000,10700000,18000000,7200000,Approved
8429,4,Not Graduate,No,3252070,13000000,4,840,6800000,2900000,10000000,4100000,Approved
2173,2,Graduate,No,606427,2100000,18,400,900000,500000,2300000,300000,Rejected
9033,5,Graduate,No,6071223,15800000,20,864,4700000,3100000,21800000,7400000,Approved
671,1,Graduate,Yes,1963884,5600000,20,300,2400000,2300000,4600000,2100000,Rejected
4507,2,Not Graduate,No,1778904,5800000,14,324,600000,2000000,3700000,900000,Rejected
4537,4,Not Graduate,Yes,5085576,13800000,12,408,19800000,6200000,10100000,2800000,Rejected
7975,3,Graduate,Yes,3164815,6400000,12,871,2100000,5900000,6000000,1700000,Approved
3536,1,Not Graduate,Yes,4584162,13600000,20,462,11200000,8500000,15500000,5400000,Rejected
2534,5,Graduate,No,8967919,32800000,6,748,10600000,4100000,18900000,11500000,Approved
9294,1,Graduate,No,5143571,11200000,14,302,1200000,8500000,20600000,4200000,Rejected
5603,5,Graduate,No,198306,500000,8,753,2500000,100000,400000,100000,Approved
2450,5,Graduate,Yes,5155321,12700000,18,693,11700000,100000,18100000,7200000,Approved
2829,4,Graduate,Yes,9097655,18600000,4,864,26900000,4200000,33300000,9700000,Approved
7607,3,Not Graduate,Yes,3807769,11800000,20,758,6600000,8400000,11300000,2500000,Approved
5358,3,Graduate,Yes,3327816,6800000,18,348,600000,8500000,16700000,4300000,Rejected
763,5,Not Graduate,Yes,5665141,14500000,12,432,6900000,7800000,20600000,4600000,Rejected
511,1,Not Graduate,Yes,3253302,9000000,20,347,2700000,2800000,7200000,3800000,Rejected
3788,3,Graduate,Yes,8154441,22700000,4,625,3600000,16000000,18000000,5800000,Approved
9931,3,Not Graduate,No,3479692,9900000,8,626,3600000,1900000,9600000,3900000,Approved
8253,5,Graduate,No,7606311,21900000,20,577,9400000,2300000,23400000,2200000,Approved
513,0,Graduate,Yes,7680862,29100000,20,410,21100000,13000000,17300000,9700000,Rejected
8978,2,Graduate,No,1107996,1800000,4,710,5400000,5100000,6100000,500000,Approved
7687,2,Not Graduate,No,2110464,7300000,8,667,4900000,1700000,7600000,1200000,Approved
627,3,Graduate,No,3472512,13300000,6,773,7400000,5300000,12100000,3600000,Approved
5459,4,Graduate,Yes,3111713,8700000,12,731,8700000,600000,14300000,1300000,Approved
1262,3,Graduate,No,3896401,14100000,18,471,2500000,2200000,13700000,2900000,Rejected
8595,1,Graduate,Yes,5654400,18500000,12,382,7600000,6400000,18800000,5700000,Rejected
6880,0,Graduate,No,3247184,11900000,8,481,5300000,10500000,13000000,1900000,Rejected
2909,0,Not Graduate,No,5770544,21400000,10,315,3200000,1900000,17200000,3800000,Rejected
4874,1,Not Graduate,Yes,9691947,30100000,6,539,18800000,12500000,36900000,11500000,Approved
9900,4,Not Graduate,No,2384827,5100000,20,761,2200000,3400000,2800000,1200000,Approved
6144,1,Not Graduate,No,8801646,32100000,6,710,10700000,9200000,26900000,12100000,Approved
3313,2,Graduate,No,7854705,26400000,6,738,2200000,8400000,16600000,6700000,Approved
